# Euromilhões data from each draw (top 3 prize count) - Bids per draw in PT
# Scraped from file 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first file, 373.0 (Oct/2004), and 12994.0 (Oct/2023), over 1600+ draws happened
# Attention to files as 4630.0 (draw 2004/34), added after draw 373.0 (2004/35) and 2391.0 (2006/50)
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-15 16:06:45 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw_seq,draw_date,wins,bids
2013.018,2013-03-01,0,4855670
2013.019,2013-03-05,2,3237377
2013.020,2013-03-08,2,5042976
2013.021,2013-03-12,5,2982686
2013.022,2013-03-15,4,4771639
2013.023,2013-03-19,2,3223474
2013.024,2013-03-22,2,7138669
2013.025,2013-03-26,1,5281484
2013.026,2013-03-29,3,7341520
2013.027,2013-04-02,1,3255393
2013.028,2013-04-05,6,5127245
2013.029,2013-04-09,1,3135684
2013.030,2013-04-12,5,5050401
2013.031,2013-04-16,21,2999317
2013.032,2013-04-19,10,4662893
2013.033,2013-04-23,2,3073104
2013.034,2013-04-26,3,4665081
2013.035,2013-04-30,1,3067788
2013.036,2013-05-03,1,4683561
2013.037,2013-05-07,0,3174049
2013.038,2013-05-10,0,5048169
2013.039,2013-05-14,0,3522246
2013.040,2013-05-17,1,5331608
2013.041,2013-05-21,1,3852305
2013.042,2013-05-24,7,5855841
2013.043,2013-05-28,3,4426436
2013.044,2013-05-31,1,4748148
2013.045,2013-06-04,1,3360875
2013.046,2013-06-07,4,7787371
2013.047,2013-06-11,4,5084699
2013.048,2013-06-14,2,7264101
2013.049,2013-06-18,3,6111601
2013.050,2013-06-21,5,8574927
2013.051,2013-06-25,3,7316299
2013.052,2013-06-28,5,5241679
2013.053,2013-07-02,2,3323705
2013.054,2013-07-05,6,4945138
2013.055,2013-07-09,1,3458563
2013.056,2013-07-12,1,4881867
2013.057,2013-07-16,0,3388185
2013.058,2013-07-19,4,4757216
2013.059,2013-07-23,4,3194884
2013.060,2013-07-26,3,4849705
2013.061,2013-07-30,1,3409982
2013.062,2013-08-02,0,5157073
2013.063,2013-08-06,2,3663356
2013.064,2013-08-09,1,5493652
2013.065,2013-08-13,1,3944771
2013.066,2013-08-16,3,5557355
2013.067,2013-08-20,1,4396280
2013.068,2013-08-23,1,6400437
2013.069,2013-08-27,1,3430922
2013.070,2013-08-30,8,5038452
2013.071,2013-09-03,1,3186065
2013.072,2013-09-06,2,4909343
2013.073,2013-09-10,4,3171815
2013.074,2013-09-13,5,5140474
2013.075,2013-09-17,1,3384344
2013.076,2013-09-20,2,5054877
2013.077,2013-09-24,4,3630116
2013.078,2013-09-27,2,5315026
2013.079,2013-10-01,1,3082493
2013.080,2013-10-04,2,4810903
2013.081,2013-10-08,0,3366145
2013.082,2013-10-11,1,5117205
